"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2750","requires traveller details before continuing to payment","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","1520","redirects an unauthenticated traveller away from passenger details","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","20088","redirects an unauthenticated traveller away from passenger details","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","28592","books HYD to BOM AC Semi-Sleeper and verifies its PNR in My Trips","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | complete bus booking","booking-flow.spec.ts","",""
"","32","throwsAfterMaxAttemptsWhenStillRetryable()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.ResilienceUtilsTest","api.tripstack.tests.ResilienceUtilsTest","throwsAfterMaxAttemptsWhenStillRetryable"
"","3711","rejectsConfirmationBeforePayment()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsConfirmationBeforePayment"
"","22","receives HTTP 500 when payment is submitted","chromium","2026-07-17","skipped","2026-07-17","Vikram (1030) | injected payment failure","payment-failure.spec.ts","",""
"","5586","books HYD to BOM AC Semi-Sleeper and verifies its PNR in My Trips","chromium","2026-07-18","passed","2026-07-18","complete bus booking","booking-flow.spec.ts","",""
"","2340","logs in using environment-supplied credentials","chromium","2026-07-18","passed","2026-07-18"," authentication","login.spec.ts","",""
"","685","rejectsMissingBearerToken()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsMissingBearerToken"
"","20781","opens seat selection for an AC Semi-Sleeper bus","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | bus search","bus-search.spec.ts","",""
"","1336","does not allow a booked seat to be selected","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","693","rejectsInvalidLogin()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsInvalidLogin"
"","7520","completesBusBookingAndListsConfirmedPnrInEmployee1030Namespace()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingHappyPathTest","api.tripstack.tests.BookingHappyPathTest","completesBusBookingAndListsConfirmedPnrInEmployee1030Namespace"
"","20233","does not allow a booked seat to be selected","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","2068","opens seat selection for an AC Semi-Sleeper bus","chromium","2026-07-18","passed","2026-07-18"," bus search","bus-search.spec.ts","",""
"","1799","finds AC Semi-Sleeper buses from HYD to BOM 14 days from today","chromium","2026-07-18","passed","2026-07-18"," bus search","bus-search.spec.ts","",""
"","18871","finds AC Semi-Sleeper buses from HYD to BOM 14 days from today","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | bus search","bus-search.spec.ts","",""
"","1646","rejects invalid login credentials","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","20979","logs in using environment-supplied credentials","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | authentication","login.spec.ts","",""
"","3563","rejectsAnEmptySeatHold()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsAnEmptySeatHold"
"","20370","requires traveller details before continuing to payment","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","9","retriesWhenResultIsMarkedRetryable()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.ResilienceUtilsTest","api.tripstack.tests.ResilienceUtilsTest","retriesWhenResultIsMarkedRetryable"
"","60","createsAndQueriesBookingRowsInContainerizedMysql()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.DatabaseContainerTest","api.tripstack.tests.DatabaseContainerTest","createsAndQueriesBookingRowsInContainerizedMysql"
"","17012","rejects invalid login credentials","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
